Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2016-01-12,11.942657470703125,12.19583677277403,11.812979606481703,12.035283843542294,923100,12.203135983100992,12.098559825763838,11.838596589396465,11.492430350198271
2016-01-13,11.7821044921875,11.979707734166693,11.683302871197904,11.979707734166693,908700,12.163037745871135,12.086149812682413,11.837477934006188,11.49531267996931
2016-01-14,11.54127311706543,11.868552972003377,11.417770529438453,11.81915217251418,814300,12.103822066937258,12.064782099128808,11.831612492086569,11.495769997751362
2016-01-15,11.28809928894043,11.35602468470143,11.109020568732953,11.349849434576152,625400,12.026134183318511,12.034323949709655,11.820849854400505,11.493703622539314
2016-01-19,10.658234596252441,11.217699363334665,10.559432980582166,11.183118915630885,1462200,11.895858032169363,11.980359661338785,11.797827770080742,11.485390497899644
2016-01-20,10.868184089660645,10.96698566683693,10.096296031841106,10.460627289356545,1208600,11.797984323359008,11.936744933037682,11.779418984329848,11.479249140603732
2016-01-21,11.004033088684082,11.183111636656136,10.682927457856026,10.936106580445387,899200,11.722369920056636,11.900167997964992,11.764064808178446,11.474520622674184
2016-01-22,10.8558349609375,11.220166264192242,10.732332385058388,11.170765469402168,645000,11.63984278109291,11.859213761218816,11.74608005872813,11.468364546437998
2016-01-25,10.750858306884766,11.084314560721864,10.695282264578582,10.868185638176472,487800,11.555177593073086,11.81574884144101,11.72637269730549,11.461225180870304
2016-01-26,10.92376708984375,11.010218230548665,10.652061990446006,10.77556462957456,625500,11.495043259432197,11.780769164907785,11.710479516959712,11.455877339168548
2016-01-27,10.862015724182129,10.979343113075483,10.732337835866643,10.84348997504893,530000,11.434754922741714,11.74473961821266,11.693678253736394,11.449968268372665
2016-01-28,10.95464038848877,11.065792510160676,10.843488266816863,10.960815637227016,323000,11.389029729003338,11.713755334694078,11.679043840563173,11.44503963275193
2016-01-29,11.358297348022461,11.383137184314329,10.967059562181253,10.967059562181253,754300,11.386102835576589,11.699815805804995,11.672692424869297,11.44417652544119
2016-02-01,11.432815551757812,11.51975673657451,11.178201066664787,11.339664113099234,679700,11.390551665689085,11.689345207607067,11.66794238777798,11.444063480926928
2016-02-02,11.38934326171875,11.507335698157565,11.190619906338405,11.401763767551177,672800,11.390436579596672,11.677580425415368,11.662425573400569,11.443519001133813
2016-02-03,11.488707542419434,11.535283857601579,11.246513546236029,11.482497288096154,440500,11.399795718913126,11.670173645690038,11.65898561239104,11.443968638360536
2016-02-04,11.712274551391602,11.74953490109002,11.451449734532362,11.494920339928042,404800,11.429555607720598,11.671824661599903,11.660040838905902,11.446638348937961
2016-02-05,11.774374008178711,11.79921502942508,11.594281342082889,11.687432802786596,545400,11.462395455383275,11.675846204602994,11.662304862059818,11.449899400273692
2016-02-08,11.755745887756348,11.793006239771604,11.28377708578392,11.761956143839763,610200,11.490333591799757,11.67897952551097,11.664155179400344,11.45294264890536
2016-02-09,11.985519409179688,12.178033793808114,11.470080000451933,11.643963616878672,1092300,11.537494145835941,11.691000697419547,11.670518827514787,11.45824192015187
2016-02-10,12.053823471069336,12.084873547419352,11.93583104886719,12.035192714568632,693300,11.586668367286741,11.705229041484245,11.678109018476261,11.464168104738114
2016-02-11,11.749530792236328,12.047615854552555,11.519756149731272,11.985514503782154,541600,11.602179074424797,11.70696636504315,11.679523311025966,11.467007534464466
2016-02-12,11.991724967956543,12.072457080721643,11.699850154038705,11.811632350492063,571500,11.639278683332583,11.71813336907897,11.685705522054294,11.472228603454438
2016-02-16,11.991724967956543,12.103507164409901,11.876217566910237,12.016565982494964,498600,11.672844996153913,11.728862451387894,11.691765313062257,11.477397721509186
